"source_genesymbol","target_genesymbol","interact"
"DPYSL2","NUMB",0
"NUMB","SELP",0
"LNX2","NUMB",0
"CAV3","SLC8A1",0
"ANK2","SLC8A1",0
"KCNMA1","TRPC1",0
"TRPV1","KCNMA1",0
"FADD","KCNMA1",0
"KCNMA1","MAP1A",0
"KCNMA1","TBXA2R",0
"KCNMA1","PLA2G4A",0
"KCNMA1","CACNA1H",0
"KCNMB1","KCNMA1",0
"LRRC26","KCNMA1",0
"KCNMB2","KCNMA1",0
"TNNI2","CALM1",0
"OPRM1","CALM1",0
"CALM1","LTF",0
"DDX5","CALM1",0
"CALM1","HMMR",0
"MAPT","CALM1",0
"AR","CALM1",0
"CALM1","MYC",0
"CALM1","NR3C1",0
"GRB7","CALM1",0
"PIK3C3","CALM1",0
"RALA","CALM1",0
"SNCA","CALM1",0
"CALM1","HSP90AA1",0
"SCN4A","CALM1",0
"ESRRG","CALM1",0
"SOS2","CALM1",0
"CALD1","CALM1",0
"CALM1","KRAS",0
"SEC61A1","CALM1",0
"PTPRA","CALM1",0
"SCN5A","CALM1",0
"KCNN2","CALM1",0
"ITPKA","CALM1",0
"CALM1","KCNN4",0
"NRGN","CALM1",0
"CALM1","STRN",0
"CALM1","GJB1",0
"MIP","CALM1",0
"CALM1","WFS1",0
"PCP4","CALM1",0
"CNGA2","CALM1",0
"CRBN","CSNK1A1",0
"DHX9","EWSR1",0
"RASSF1","EWSR1",0
"EWSR1","JUN",0
"EWSR1","FLI1",0
"BARD1","EWSR1",0
"CREBBP","EWSR1",0
"POU5F1","EWSR1",0
"POU4F1","EWSR1",0
"EWSR1","POLR2G",0
"TAL1","TRIM27",0
"TRIM27","MBD4",0
"EPC1","TRIM27",0
"SCG3","CHGA",0
"SIRT1","CTTN",0
"CTTN","CTNND1",0
"CTTN","KEAP1",0
"CTTN","KCNA2",0
"SHANK2","CTTN",0
"SRCIN1","CTTN",0
"CTTN","MTSS1",0
"CTTN","ARHGAP8",0
"CTTNBP2","CTTN",0
"TERF1","NBN",0
"GNL3","TERF1",0
"TINF2","TERF1",0
"FANCD2","TERF1",0
"PIN1","TERF1",0
"KPNB1","TERF1",0
"TNKS2","TERF1",0
"FBXO4","TERF1",0
"TERF1","TNKS",0
"TRIOBP","TERF1",0
"SALL1","TERF1",0
"CAV3","TRPC1",0
"CAV3","NOS1",0
"DAG1","CAV3",0
"CAV3","SVIL",0
"CAV3","DYSF",0
"CAV3","PFKM",0
"SLC22A11","CAV3",0
"ACTA1","TNNI3",0
"RCAN3","TNNI3",0
"PAPPA","TNNI3",0
"TNNC1","TNNI3",0
"PDCD6IP","HCK",0
"HDAC6","RUNX2",0
"HDAC6","PXN",0
"HDAC6","SQSTM1",0
"HDAC6","PRKCA",0
